[17:10:04] [LOGGING]	 STARTING LOGGING
[17:10:09] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[17:10:09] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[17:10:09] [ENGINE - KINECT_0]	 Init recognizer
[17:10:09] [ENGINE - KINECT_0]	 AudioLevel: 0
[17:10:09] [ENGINE - KINECT_0]	 MaxAlternates: 1
[17:10:09] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:00
[17:10:09] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[17:10:10] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[17:10:10] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[17:10:10] [ENGINE - KINECT_0]	 Start listening
[17:10:10] [ENGINE - KINECT_0]	 AudioStateChanged (10:10.0):Silence
[17:10:10] [TTS]	 Add Speaker Device: 0 Product: Casque (Cirrus Logic CS4206B (A Channels: 2 Playback: True
[17:10:11] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[17:10:11] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[17:10:11] [ENGINE]	 Restart timeout: 3600000
[17:10:17] [CAMERA]	 Storing camera: Kinect_0
[17:10:25] [RTPCLIENT]	 Stop RTPClient
[17:10:25] [RTPCLIENT]	 Stop RTPClient
[17:10:25] [RTPCLIENT]	 Stop RTPClient ... Done
[17:10:25] [RTPCLIENT]	 Stop RTPClient ... Done
[17:10:25] [ENGINE - File]	 Stop listening...done
[17:10:26] [ENGINE - KINECT_0]	 Stop listening...done
[17:10:26] [KINECT]	 Stop Sensors
[17:10:26] [TASKS]	 Stop Tasks
[17:10:26] [KINECT]	 Stop Sensor
[18:22:08] [LOGGING]	 STARTING LOGGING
[18:22:08] [INIT]	 ==========================================
[18:22:08] [INIT]	 S.A.R.A.H. => KINECT
[18:22:08] [INIT]	 ==========================================
[18:22:08] [INIT]	 Server: http://127.0.0.1:8080
[18:22:08] [INIT]	 Confidence: 0,6
[18:22:08] [INIT]	 ==========================================
[18:22:09] [KINECT]	 Setup sensor stream
[18:22:09] [KINECT]	 Start sensor
[18:22:11] [INIT]	 Starting Server: http://169.254.80.80:8888/
[18:22:11] [INIT]	 Starting Server: http://127.0.0.1:8888/
[18:22:11] [WATCHER]	 Stop watching
[18:22:11] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[18:22:11] [GRAMMAR]	 Add to context list: time.xml
[18:22:11] [WATCHER]	 Watching directory: macros
[18:22:11] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[18:22:11] [GRAMMAR]	 Add to context list: dictionary.xml
[18:22:11] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[18:22:11] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[18:22:11] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[18:22:11] [GRAMMAR]	 Add to context list: dot_meteo.xml
[18:22:11] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[18:22:11] [GRAMMAR]	 Add to context list: meteo2.xml
[18:22:11] [WATCHER]	 Watching directory: plugins
[18:22:11] [WATCHER]	 Start watching
[18:22:11] [GRAMMAR]	 Context: default
[18:22:11] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_itineraire.xml, dot_meteo.xml, meteo2.xml
[18:22:11] [CONTEXT]	 time.xml = True
[18:22:11] [CONTEXT]	 dictionary.xml = True
[18:22:11] [CONTEXT]	 dot_itineraire.xml = True
[18:22:11] [CONTEXT]	 dot_meteo.xml = True
[18:22:11] [CONTEXT]	 meteo2.xml = True
[18:22:11] [GRAMMAR]	 File: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 File: Load: time.xml Enabled: True
[18:22:11] [GRAMMAR]	 File: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[18:22:11] [GRAMMAR]	 File: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[18:22:11] [GRAMMAR]	 File: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[18:22:11] [GRAMMAR]	 File: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[18:22:11] [ENGINE - File]	 Init recognizer
[18:22:11] [ENGINE - File]	 AudioLevel: 0
[18:22:11] [ENGINE - File]	 MaxAlternates: 1
[18:22:11] [ENGINE - File]	 BabbleTimeout: 00:00:00
[18:22:11] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[18:22:11] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[18:22:11] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:22:11] [KINECT_0]	 AutomaticGainControlEnabled : False
[18:22:11] [KINECT_0]	 BeamAngle : 0
[18:22:11] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[18:22:11] [KINECT_0]	 EchoCancellationSpeakerIndex : 2
[18:22:11] [KINECT_0]	 NoiseSuppression : True
[18:22:11] [KINECT_0]	 SoundSourceAngle : 0
[18:22:11] [KINECT_0]	 SoundSourceAngleConfidence : 0
[18:22:11] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[18:22:11] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[18:22:11] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 KINECT_0: Load: dot_itineraire.xml Enabled: True
[18:22:11] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
[18:22:11] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:22:11] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[18:22:11] [ENGINE - KINECT_0]	 Init recognizer
[18:22:11] [ENGINE - KINECT_0]	 AudioLevel: 0
[18:22:11] [ENGINE - KINECT_0]	 MaxAlternates: 1
[18:22:11] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:00
[18:22:11] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[18:22:11] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[18:22:11] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:22:11] [ENGINE - KINECT_0]	 Start listening
[18:22:11] [ENGINE - KINECT_0]	 AudioStateChanged (22:11.7):Silence
[18:22:11] [TTS]	 Add Speaker Device: 0 Product: Casque (Cirrus Logic CS4206B (A Channels: 2 Playback: True
[18:22:11] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[18:22:11] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[18:22:11] [ENGINE]	 Restart timeout: 3600000
[18:22:15] [CAMERA]	 Storing camera: Kinect_0
[18:22:21] [ENGINE - KINECT_0]	 AudioStateChanged (22:21.5):Speech
[18:22:21] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:22:21] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,01959044
[18:22:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle => 0,79592
[18:22:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle heure est => 0,7824597
[18:22:22] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle heure est il => 0,6568168
[18:22:22] [ENGINE - KINECT_0]	 AudioStateChanged (22:22.9):Silence
[18:22:23] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9660082 (0,6) / 0,9804133 (SARAH) Device:  Text: SARAH quelle heure est il
[18:22:23] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9660082 (0,6) / 0,9804133 (SARAH) Device:  Text: SARAH quelle heure est il
[18:22:23] [ENGINE - KINECT_0]	 <SML text="SARAH quelle heure est il" utteranceConfidence="0.966" confidence="0.966">
  <action confidence="0.948" uri="http://127.0.0.1:8080/sarah/time" />
  <alternate Rank="1" text="SARAH quelle heure est il" utteranceConfidence="0.966" confidence="0.966">
    <action confidence="0.948" uri="http://127.0.0.1:8080/sarah/time" />
  </alternate>
</SML>
[18:22:23] [CONTEXT]	 Reset timeout
[18:22:23] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.9660082&client=SARAH1&profile=Unknow_3314&directory=C%3a%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:22:23] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.9660082&client=SARAH1&profile=Unknow_3314&directory=C:%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:22:23] [TTS]	 Try speaking ... il est 18 heure 22 
[18:22:24] [TTS]	 [0] Say: il est 18 heure 22 
[18:22:24] [PLAYER]	 [0]Start Player
[18:22:27] [PLAYER]	 [0]End Player
[18:22:27] [PLAYER]	 [0]speaking false
[18:22:27] [TTS]	 End speaking
[18:22:27] [ENGINE - KINECT_0]	 SpeechRecognized: 4099,9643ms Text: SARAH quelle heure est il
[18:22:28] [ENGINE - KINECT_0]	 AudioStateChanged (22:28.9):Stopped
[18:22:29] [ENGINE - KINECT_0]	 RecognizeCompleted (22:29.1): SARAH quelle heure est il
[18:22:29] [ENGINE - KINECT_0]	 BabbleTimeout: False; InitialSilenceTimeout: False; Result text: SARAH quelle heure est il
[18:24:02] [RTPCLIENT]	 Stop RTPClient
[18:24:02] [RTPCLIENT]	 Stop RTPClient
[18:24:02] [RTPCLIENT]	 Stop RTPClient ... Done
[18:24:02] [RTPCLIENT]	 Stop RTPClient ... Done
[18:24:02] [ENGINE - File]	 Stop listening...done
[18:24:02] [ENGINE - KINECT_0]	 Stop listening...done
[18:24:02] [KINECT]	 Stop Sensors
[18:24:02] [TASKS]	 Stop Tasks
[18:24:02] [KINECT]	 Stop Sensor
[18:24:10] [LOGGING]	 STARTING LOGGING
[18:24:10] [INIT]	 ==========================================
[18:24:10] [INIT]	 S.A.R.A.H. => KINECT
[18:24:10] [INIT]	 ==========================================
[18:24:10] [INIT]	 Server: http://127.0.0.1:8080
[18:24:10] [INIT]	 Confidence: 0,6
[18:24:10] [INIT]	 ==========================================
[18:24:11] [KINECT]	 Setup sensor stream
[18:24:11] [KINECT]	 Start sensor
[18:24:12] [INIT]	 Starting Server: http://169.254.80.80:8888/
[18:24:12] [INIT]	 Starting Server: http://127.0.0.1:8888/
[18:24:12] [WATCHER]	 Stop watching
[18:24:12] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[18:24:12] [GRAMMAR]	 Add to context list: time.xml
[18:24:12] [WATCHER]	 Watching directory: macros
[18:24:12] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[18:24:12] [GRAMMAR]	 Add to context list: dictionary.xml
[18:24:12] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[18:24:12] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[18:24:12] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[18:24:12] [GRAMMAR]	 Add to context list: dot_meteo.xml
[18:24:12] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[18:24:12] [GRAMMAR]	 Add to context list: meteo2.xml
[18:24:12] [WATCHER]	 Watching directory: plugins
[18:24:12] [WATCHER]	 Start watching
[18:24:12] [GRAMMAR]	 Context: default
[18:24:12] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_itineraire.xml, dot_meteo.xml, meteo2.xml
[18:24:12] [CONTEXT]	 time.xml = True
[18:24:12] [CONTEXT]	 dictionary.xml = True
[18:24:12] [CONTEXT]	 dot_itineraire.xml = True
[18:24:12] [CONTEXT]	 dot_meteo.xml = True
[18:24:12] [CONTEXT]	 meteo2.xml = True
[18:24:12] [GRAMMAR]	 File: Load Grammar to Engine
[18:24:12] [GRAMMAR]	 File: Load: time.xml Enabled: True
[18:24:12] [GRAMMAR]	 File: Load Grammar to Engine
[18:24:12] [GRAMMAR]	 File: Load: dictionary.xml Enabled: True
[18:24:12] [GRAMMAR]	 File: Load Grammar to Engine
[18:24:12] [GRAMMAR]	 File: Load: dot_itineraire.xml Enabled: True
[18:24:12] [GRAMMAR]	 File: Load Grammar to Engine
[18:24:12] [GRAMMAR]	 File: Load: dot_meteo.xml Enabled: True
[18:24:12] [GRAMMAR]	 File: Load Grammar to Engine
[18:24:12] [GRAMMAR]	 File: Load: meteo2.xml Enabled: True
[18:24:12] [ENGINE - File]	 Init recognizer
[18:24:12] [ENGINE - File]	 AudioLevel: 0
[18:24:12] [ENGINE - File]	 MaxAlternates: 1
[18:24:12] [ENGINE - File]	 BabbleTimeout: 00:00:00
[18:24:12] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[18:24:13] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[18:24:13] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:24:13] [KINECT_0]	 AutomaticGainControlEnabled : False
[18:24:13] [KINECT_0]	 BeamAngle : 0
[18:24:13] [KINECT_0]	 EchoCancellationMode : CancellationAndSuppression
[18:24:13] [KINECT_0]	 EchoCancellationSpeakerIndex : 1
[18:24:13] [KINECT_0]	 NoiseSuppression : True
[18:24:13] [KINECT_0]	 SoundSourceAngle : 0
[18:24:13] [KINECT_0]	 SoundSourceAngleConfidence : 0
[18:24:13] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:24:13] [GRAMMAR]	 KINECT_0: Load: time.xml Enabled: True
[18:24:13] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:24:13] [GRAMMAR]	 KINECT_0: Load: dictionary.xml Enabled: True
[18:24:13] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:24:13] [GRAMMAR]	 KINECT_0: Load: dot_itineraire.xml Enabled: True
[18:24:13] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:24:13] [GRAMMAR]	 KINECT_0: Load: dot_meteo.xml Enabled: True
[18:24:13] [GRAMMAR]	 KINECT_0: Load Grammar to Engine
[18:24:13] [GRAMMAR]	 KINECT_0: Load: meteo2.xml Enabled: True
[18:24:13] [ENGINE - KINECT_0]	 Init recognizer
[18:24:13] [ENGINE - KINECT_0]	 AudioLevel: 0
[18:24:13] [ENGINE - KINECT_0]	 MaxAlternates: 1
[18:24:13] [ENGINE - KINECT_0]	 BabbleTimeout: 00:00:00
[18:24:13] [ENGINE - KINECT_0]	 InitialSilenceTimeout: 00:00:00
[18:24:13] [ENGINE - KINECT_0]	 EndSilenceTimeout: 00:00:00.1500000
[18:24:13] [ENGINE - KINECT_0]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[18:24:13] [ENGINE - KINECT_0]	 Start listening
[18:24:13] [ENGINE - KINECT_0]	 AudioStateChanged (24:13.1):Silence
[18:24:13] [TTS]	 Add Speaker Device: 0 Product: Haut-parleurs (Cirrus Logic CS4 Channels: 2 Playback: True
[18:24:13] [TTS]	 [0]Name: Microsoft Hortense Desktop Culture: fr-FR
[18:24:13] [TTS]	 [0]Name: Microsoft Zira Desktop Culture: en-US
[18:24:13] [ENGINE]	 Restart timeout: 3600000
[18:24:13] [CAMERA]	 Storing camera: Kinect_0
[18:24:16] [ENGINE - KINECT_0]	 AudioStateChanged (24:16.6):Speech
[18:24:16] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:24:16] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,8193934
[18:24:17] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH je => 0,6711109
[18:24:17] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle heure est => 0,8138452
[18:24:17] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle heure est il => 0,6933809
[18:24:18] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH quelle heure est il => 0,7887394
[18:24:18] [ENGINE - KINECT_0]	 AudioStateChanged (24:18.0):Silence
[18:24:18] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9756722 (0,6) / 0,9937196 (SARAH) Device:  Text: SARAH quelle heure est il
[18:24:18] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9756722 (0,6) / 0,9937196 (SARAH) Device:  Text: SARAH quelle heure est il
[18:24:18] [ENGINE - KINECT_0]	 <SML text="SARAH quelle heure est il" utteranceConfidence="0.976" confidence="0.976">
  <action confidence="0.963" uri="http://127.0.0.1:8080/sarah/time" />
  <alternate Rank="1" text="SARAH quelle heure est il" utteranceConfidence="0.976" confidence="0.976">
    <action confidence="0.963" uri="http://127.0.0.1:8080/sarah/time" />
  </alternate>
</SML>
[18:24:18] [CONTEXT]	 Reset timeout
[18:24:18] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.9756722&client=SARAH1&profile=Unknow_8167&directory=C%3a%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:24:18] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/time?confidence=0.9756722&client=SARAH1&profile=Unknow_8167&directory=C:%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:24:18] [TTS]	 Try speaking ... il est 18 heure 24 
[18:24:18] [TTS]	 [0] Say: il est 18 heure 24 
[18:24:18] [PLAYER]	 [0]Start Player
[18:24:21] [PLAYER]	 [0]End Player
[18:24:21] [PLAYER]	 [0]speaking false
[18:24:21] [TTS]	 End speaking
[18:24:21] [ENGINE - KINECT_0]	 SpeechRecognized: 2979,5261ms Text: SARAH quelle heure est il
[18:24:21] [ENGINE - KINECT_0]	 AudioStateChanged (24:21.0):Speech
[18:24:21] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:24:21] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,01916724
[18:24:21] [ENGINE - KINECT_0]	 AudioStateChanged (24:21.0):Silence
[18:24:33] [ENGINE - KINECT_0]	 AudioStateChanged (24:33.0):Speech
[18:24:33] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:24:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,02726269
[18:24:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH il est => 0,6935825
[18:24:33] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Affiche => 0,7341424
[18:24:34] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Affiche moi => 0,6914961
[18:24:34] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Affiche moi la => 0,6447658
[18:24:34] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Affiche moi la météo => 0,7512353
[18:24:34] [ENGINE - KINECT_0]	 AudioStateChanged (24:34.9):Silence
[18:24:34] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9531064 (0,6) / 0,9606524 (SARAH) Device:  Text: SARAH Affiche moi la météo
[18:24:34] [ENGINE - KINECT_0]	 RECOGNIZED Speech: 0,9531064 (0,6) / 0,9606524 (SARAH) Device:  Text: SARAH Affiche moi la météo
[18:24:34] [ENGINE - KINECT_0]	 <SML text="SARAH Affiche moi la météo" utteranceConfidence="0.953" confidence="0.953">
  <action confidence="0.964" uri="http://127.0.0.1:8080/sarah/dot_meteo" />
  <alternate Rank="1" text="SARAH Affiche moi la météo" utteranceConfidence="0.953" confidence="0.953">
    <action confidence="0.964" uri="http://127.0.0.1:8080/sarah/dot_meteo" />
  </alternate>
</SML>
[18:24:34] [CONTEXT]	 Reset timeout
[18:24:34] [HTTP]	 Build HttpRequest: http://127.0.0.1:8080/sarah/dot_meteo?confidence=0.9531064&client=SARAH1&profile=Unknow_8167&directory=C%3a%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:24:34] [HTTP]	 Send HttpRequest: http://127.0.0.1:8080/sarah/dot_meteo?confidence=0.9531064&client=SARAH1&profile=Unknow_8167&directory=C:%5cUsers%5cTasa_PC%5cDocuments%5cProjet%5cmacros
[18:24:35] [HTTP]	 Request received: http://127.0.0.1:8888/?tts=c%27est%20fait
[18:24:35] [TTS]	 Try speaking ... c'est fait
[18:24:35] [TTS]	 [0] Say: c'est fait
[18:24:35] [PLAYER]	 [0]Start Player
[18:24:36] [PLAYER]	 [0]End Player
[18:24:36] [PLAYER]	 [0]speaking false
[18:24:36] [TTS]	 End speaking
[18:26:15] [HTTP]	 System.Net.WebException: Le délai d'attente de l'opération a expiré.
   à System.Net.HttpWebRequest.GetResponse()
   à net.encausse.sarah.WSRHttpManager.SendRequest(String url) dans e:\Dropbox\Projects\WSRMacro\WSRMacro\WSRHttpManager.cs:ligne 65
[18:26:15] [HTTP]	 System.Net.WebException: Le délai d'attente de l'opération a expiré.
   à System.Net.HttpWebRequest.GetResponse()
   à net.encausse.sarah.WSRHttpManager.SendRequest(String url) dans e:\Dropbox\Projects\WSRMacro\WSRMacro\WSRHttpManager.cs:ligne 65
[18:26:15] [ENGINE - KINECT_0]	 SpeechRecognized: 100263,41ms Text: SARAH Affiche moi la météo
[18:26:15] [ENGINE - KINECT_0]	 AudioStateChanged (26:15.2):Speech
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,02028605
[18:26:15] [ENGINE - KINECT_0]	 AudioStateChanged (26:15.2):Silence
[18:26:15] [ENGINE - KINECT_0]	 AudioStateChanged (26:15.2):Speech
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechDetected
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH => 0,1821823
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne => 0,6757706
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne-moi => 0,5554969
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne-moi un => 0,6553379
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne-moi => 0,5994194
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne-moi un itineraire => 0,5257125
[18:26:15] [ENGINE - KINECT_0]	 recognizer_SpeechHypothesized SARAH Donne-moi un itineraire de => 0,4521382
